Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date
God of War (2018),All,Action,Sony Interactive Entertainment,,,,,,2018-04-20
God of War (2018),PS4,Action,Sony Interactive Entertainment,,,,,,2018-04-20
Dead Cells,All,Action,Motion Twin,,,,,,2018-08-07
Monster Hunter: World,PS4,Action,Capcom,,,,,,2018-01-26
Far Cry 5,PS4,Action,Ubisoft,1.44,1.73,0.15,0.62,3.95,2018-03-27
Naruto to Boruto: Shinobi Striker,All,Action,Bandai Namco Entertainment,,,,,,2018-08-31
Naruto to Boruto: Shinobi Striker,PS4,Action,Bandai Namco Games,,,,,,2018-08-31
Warhammer: Vermintide 2,All,Action,Fatshark,,,,,,2018-03-08
Far Cry 5,XOne,Action,Ubisoft,1.14,0.47,,0.17,1.78,2018-03-27
Bayonetta,NS,Action,Nintendo,,,,,,2018-02-16
Bayonetta 2,NS,Action,Nintendo,,,,,,2018-02-16
Naruto to Boruto: Shinobi Striker,XOne,Action,Bandai Namco Games,,,,,,2018-08-31
Warriors Orochi 4,All,Action,Koei Tecmo,,,,,,2018-10-16
Monster Hunter: World,XOne,Action,Capcom,0.67,0.17,,0.09,0.93,2018-01-26
Dynasty Warriors 9,All,Action,Koei Tecmo,,,,,,2018-02-13
Monster Hunter Generations Ultimate,NS,Action,Capcom,0.27,0.14,0.27,0.04,0.72,2018-08-28
Diablo III: Eternal Collection,NS,Action,Blizzard Entertainment,0.38,0.22,0.01,0.06,0.67,2018-11-02
LEGO The Incredibles,NS,Action,Warner Bros. Interactive Entertainment,0.35,0.21,0.01,0.06,0.63,2018-06-15
LEGO The Incredibles,PS4,Action,Warner Bros. Interactive Entertainment,0.18,0.27,,0.09,0.53,2018-06-15
Attack on Titan 2,All,Action,Koei Tecmo,,,,,,2018-03-20
A Way Out,PS4,Action,Electronic Arts,0.23,0.16,,0.08,0.48,2018-03-23
Hyrule Warriors: Definitive Edition,NS,Action,Nintendo,0.21,0.15,0.07,0.03,0.46,2018-05-18
Dynasty Warriors 9,PS4,Action,Tecmo Koei,0.1,0.06,0.17,0.03,0.37,2018-02-13
Yakuza: Kiwami 2,PS4,Action,Sega,0.08,0.06,0.19,0.03,0.37,2018-08-28
Fist of The North Star: Lost Paradise,PS4,Action,Sega,0.09,0.05,0.18,0.03,0.36,2018-10-02
Nintendo Labo: Toy-Con 02 Robot Kit,NS,Action,Nintendo,0.18,0.08,0.08,0.03,0.36,2018-04-20
Hello Neighbor,PS4,Action,Gearbox Software,0.13,0.16,,0.06,0.35,2018-07-27
LEGO Harry Potter Collection,NS,Action,Warner Bros. Interactive Entertainment,0.15,0.16,,0.03,0.33,2018-10-30
LEGO The Incredibles,XOne,Action,Warner Bros. Interactive Entertainment,0.19,0.1,,0.03,0.32,2018-06-15
Warriors  Orochi 4,NS,Action,Koei Tecmo,,,,,,2018-10-16
Darksiders III,PS4,Action,THQ Nordic,0.13,0.07,,0.04,0.25,2018-11-27
Hello Neighbor,NS,Action,Gearbox Software,0.12,0.1,,0.02,0.24,2018-07-27
